Section,Parameter,Value,Significance
Refractive Indices,Ordinary Index (no),1.658,Our Current Timeline Baseline dense fluid ground phase.
Refractive Indices,Extraordinary Index (ne),1.486,The High-Entropy Titor Axis chaotic scattering phase.
Refractive Indices,Intermediate Index (nc),1.572,The True Target Core total visual occlusion balance.
Birefringence,Delta Max (Δ n),0.172,Drives high spatial contrast and Dimensional Timeline Splitting.
Hardware Input,Source Power (Max),15W,12-Volt DC driver (Tapo L920-5) concentrated via coiling.
Hardware Input,Dominant Wavelengths (λ),450nm / 630nm,True Blue (2.75 eV) and Deep Purple (1.90 eV) additive mix.
Hardware Input,Cross-Modulation Driver,590nm - 610nm,Orange/White Monitor Light Bar acting as background spatial grid.
Hardware Input,Oscillator Period (T),10.0s (0.1 Hz),The Universal Temporal Metronome and gravitational chopper.
Geometric Optics,Caustic Geometry,Double-Cone Matrix,Inverted triangles intersecting at 0.125h (1/8th height).
Geometric Optics,Local Power Density (Ifocal),12000000 W/m²,Hyper-compressed Caustic Focal Zone at the 1/8th boundary.
Geometric Optics,Max Field Strength (Bmax),83.3 mG,Low-voltage magnetic flux acting as a passive VGL guide.
Biological Impact,Retinal Spiking Factor,400x Intensity,Inverse-square spike within 5 cm proximity boundary.
Biological Impact,Retinal Reset Delay,120-180 seconds,Time required for photopigments to rebuild during phase-shifts.
Biological Impact,Ocular Pacing Rhythm,0.1 Hz Cycle,The Eyes Breathing Sensation driven by visual entrainment.
Advanced Model,Boundary Skin (dp),135.9 nm,Thickness of the evanescent wave wrapping each needle face.
Advanced Model,Walk-Off Distance (Δx),109.4 um,Physical path displacement between split timeline rays.
